id,name,value
shinquestions,Shin,26
tetanusquestions,Tetanus,25
suicidequestions,Suicide,25
spitquestions,Spit,25
puffinessquestions,Puffiness,25
methadonequestions,Methadone,25
kneepainquestions,Knee Pain,25
sodiumquestions,Sodium,25
aidsquestions,AIDS,25
cortisonequestions,Cortisone,25
abortionquestions,Abortion,25
depoproveraquestions,DepoProvera,25
coloncancerquestions,Colon Cancer,25
shoulderbladequestions,Shoulder Blade,24
triglyceridequestions,Triglyceride,24
circulationquestions,Circulation,24
sadnessquestions,Sadness,24
melatoninquestions,Melatonin,24
staphinfectionquestions,Staph Infection,24
multiplesclerosisquestions,Multiple Sclerosis,24
morphinequestions,Morphine,23
ribcagequestions,Ribcage,23
pubertyquestions,Puberty,23
inhalerquestions,Inhaler,23
narcoticquestions,Narcotic,23
tattooquestions,Tattoo,23
mononucleosisquestions,Mononucleosis,23
neuropathyquestions,Neuropathy,23
sunscreenquestions,Sunscreen,23
gallstonequestions,Gallstone,23
infectionquestions,Infection,22
electrogastrogramquestions,Electrogastrogram,22
shavingquestions,Shaving,22
prenatalvitaminquestions,Prenatal Vitamin,22
piercingquestions,Piercing,22
agingquestions,Aging,22
dementiaquestions,Dementia,22
pancreatitisquestions,Pancreatitis,22
cravingquestions,Craving,22
honeyquestions,Honey,22
diverticulitisquestions,Diverticulitis,22
swinefluquestions,Swine Flu,21
memorylossquestions,Memory Loss,21
naproxenquestions,Naproxen,21
fingernailquestions,Fingernail,21
eardrumquestions,Ear Drum,21
cocainequestions,Cocaine,21
ricequestions,Rice,21
mammogramquestions,Mammogram,21
screeningquestions,Screening,21
highcholesterolquestions,High Cholesterol,21
trichomoniasisquestions,Trichomoniasis,21
kidneyinfectionquestions,Kidney Infection,21
hepatitiscquestions,Hepatitis C,21
kidneydiseasequestions,Kidney Disease,20
carpaltunnelsyndromequestions,Carpal Tunnel Syndrome,20
goutquestions,Gout,20
parkinsonsdiseasequestions,Parkinsons Disease,20
polypquestions,Polyp,20
nicotinequestions,Nicotine,20
irritablebowelsyndromequestions,Irritable Bowel Syndrome,20
exercisestresstestquestions,Exercise Stress Test,20
drymouthquestions,Dry Mouth,19
sunburnquestions,Sunburn,19
tendonquestions,Tendon,19
sciaticaquestions,Sciatica,19
styquestions,Sty,19
metabolismquestions,Metabolism,19
skullquestions,Skull,19
ammoniaquestions,Ammonia,19
benignquestions,Benign,19
rotatorcuffquestions,Rotator Cuff,19
lemonquestions,Lemon,19
abscessquestions,Abscess,19
hearinglossquestions,Hearing Loss,18
olivequestions,Olive,18
pacemakerquestions,Pacemaker,18
gonorrheaquestions,Gonorrhea,18
cankersorequestions,Canker Sore,18
cephalexinquestions,Cephalexin,18
oatmealquestions,Oatmeal,18
b12questions,B12,18
moldquestions,Mold,18
thirstquestions,Thirst,17
pancreaticcancerquestions,Pancreatic Cancer,17
cervicalcancerquestions,Cervical Cancer,17
cirrhosisquestions,Cirrhosis,17
tickquestions,Tick,17
nostrilquestions,Nostril,17
polycysticovariansyndromequestions,Polycystic Ovarian Syndrome,17
stuffynosequestions,Stuffy Nose,17
fetusquestions,Fetus,17
atopicdermatitisquestions,Atopic Dermatitis,17
painmanagementquestions,Pain Management,17
schizophreniaquestions,Schizophrenia,16
tremorquestions,Tremor,16
nasalsprayquestions,Nasal Spray,16
morningafterpillquestions,Morning After Pill,16
urinalysisquestions,Urinalysis,16
betablockerquestions,Beta Blocker,16
perimenopausequestions,Perimenopause,16
osteoarthritisquestions,Osteoarthritis,16
saladquestions,Salad,16
eyebrowquestions,Eyebrow,16
healthinsuranceexchange,Health Insurance Exchange,16
ligamentquestions,Ligament,16
vaginalyeastinfectionquestions,Vaginal Yeast Infection,16
peanutquestions,Peanut,16
